ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007389,pattern specification process,230/5933,482/29008,1.59E-41,1.02E-37,4.98E-38,Six1/Alx1/Nkx3-2/Dll1/Bmp7/Mib1/Irx3/Hand2/Tmem107/Gpr161/Pcdh8/Rfx4/Mdga2/Hipk1/Fezf1/Wt1/Dmrt2/Mllt3/Bhlhe41/Bmpr1a/Dmrta2/Pds5a/Lef1/Hoxa7/Bhlhe22/Nanog/Wls/Lrp6/Nr2f1/Dll4/Ap1b1/Aldh1a2/Celsr2/Tcf7l1/Dpcd/Gli3/Rarg/Hoxc9/Meis2/Dlx2/Foxa2/Lfng/Ssbp3/Acvr2a/Nodal/Ror2/Foxc1/Mtf2/Sp8/Pitx2/Cc2d2a/Gdnf/Mesp1/Foxa1/Nrp2/Mdfi/Cobl/Nrp1/Pax3/Otx1/Bptf/Ccdc40/Tbr1/Sim2/Mafb/Tdgf1/Ski/Celsr1/Sufu/Dnaaf4/Gdf11/Zic2/Edn1/Grhl3/Ext1/Acd/Gli1/Spry1/Zeb1/Grsf1/Dkk1/Yy1/Hoxc4/Msx1/Cyp26b1/Cited2/1700007K13Rik/Nkx3-1/Foxc2/Crb2/Cyp26c1/Pax2/Rfng/Dnaaf3/Wnt7b/Wnt2b/Alx3/Irx1/Acvr1/Lefty1/Foxd1/Ripply1/Atm/Fgf1/Wnt3/Hoxb4/Poglut1/Gja1/Cyp26a1/Pkd2/T/Hey1/Intu/Cited1/Pcgf2/Wnt11/Fst/Irx2/Lrp4/Notch1/Nek8/Zbtb16/Gsx2/Lrrc6/Wnt7a/Hoxa5/Hoxa9/Erbb4/Cdx1/Bmp2/Ripply3/Tbx3/Hes3/Hoxc13/Emx1/Sfrp2/Eya1/Gsc/Meox1/Rax/Wnt3a/Ripply2/Tcf15/Otx2/Zic3/Aplnr/Pax8/Bmpr2/Tgfbr2/Scmh1/Nrg3/Frat1/Bmi1/Lrp5/Fgfr4/Gata4/Uncx/Hoxb6/Rnf220/Ptch1/Chrd/Pax7/Gm572/Six2/Hoxa6/Hoxa11/Hes2/Dbx1/Neurod1/Mesp2/En1/Eng/Sfrp1/Tbx1/Anks6/Psen2/Hoxb9/Axin2/Hoxd13/Bcor/Tbx2/Nkx2-5/Hipk2/Dnai2/Dll3/Wnt8a/Shh/Atp6ap2/Ttn/Pbx2/Neurog1/Meis3/Hoxd12/Mks1/Emx2/Hhip/Hoxd3/Barx1/Foxf1/Lbx1/Btg2/Tmed2/Dmrt3/Wdr19/Smad6/Lhx3/Ascl1/Sema3f/Alx4/Nkx2-1/Daam2/Wnt1/Heyl/Fgf2/Sostdc1/Hoxa4/Grem2/Reln/Pcsk6/Foxn4/Ihh/Fezf2/Mfng/Cfap45/Tbx20/Hoxd11/Gata5/Ets2/Apc2/Senp2,230
GO:0045165,cell fate commitment,155/5933,288/29008,4.30E-36,1.38E-32,6.71E-33,Six1/Bvht/Dll1/Tlx3/Tfap2c/Lmo4/Wt1/Bmpr1a/Dmrta2/Nanog/Dll4/Elf5/Tox/Prrx1/Tcf7l2/Wnt10a/Gli3/Onecut1/Epop/Gcm1/Stat6/Neurog2/Dlx2/Foxa2/Pou3f2/Nodal/Ror2/Tcf3/Mesp1/Foxa1/Pax3/Sox12/Sox9/Nkx6-3/Tbr1/Tal1/Sufu/Gdf7/Gata6/Edn1/Tgfb1/Ext1/Atoh1/Tgfb2/Dkk1/Sox5/Cyp26b1/Braf/Wnt16/Esrp1/Lats2/Itgb1/Foxc2/Lhx6/Pax2/Wnt7b/Wnt2b/Acvr1/Prdm14/Wnt3/Smad5/Tgfb1i1/T/Ptch2/Tlx1/Arhgef2/Wnt11/Gata2/Gata1/Nkx6-2/Ebf2/Tunar/Notch1/Gsx2/Bcl2/Wnt7a/Erbb4/Tbx15/Bmp2/Pdpn/Tbx3/Vsx2/Sfrp2/Smarca4/Spdef/Eya1/Gsc/Wnt3a/Nr2e1/Otx2/Pml/Gap43/Gata4/Olig2/Ctr9/Etv2/Fev/Sox13/Spry2/Prickle2/Ptch1/Id2/Pax7/Wnt9b/Six2/Il6ra/Hoxa11/Barhl2/Dbx1/Neurod1/Sfrp1/Tbx1/Irf4/Glis1/Psen2/Tbx2/Nkx2-5/Dll3/Wnt8a/Shh/Neurog1/Fgf13/Fgfr3/Arx/Pparg/Casz1/Il6/Sox18/Neurod4/Lbx1/Myl2/Dmrt3/Rara/Ptf1a/Lhx3/Ascl1/Tead3/Pou4f1/Nkx2-1/Gbx1/Wnt1/Fgf2/Sostdc1/Tbx4/Scart2/Wnt8b/Smad1/Foxn4/Ihh/Tm2d3/Fezf2/Tbx20/Gata5/Ets2/Apc2,155
GO:0007409,axonogenesis,218/5933,487/29008,3.31E-34,6.64E-31,3.23E-31,Slit2/Epha2/Unc5b/Sema6a/Plxnb2/Sema6b/Skil/Cdk5r1/Bmp7/Apoe/Sema3d/Vax1/Ptprs/Fezf1/Nr4a2/Ptpro/Rac1/Rtn4rl1/Slitrk5/Nefl/Mir9-3/Bhlhe22/Epha6/Tenm2/Ephb1/Gli3/Trio/Neurog2/Uchl1/Metrn/Epha1/Nrcam/Plxnd1/Trim46/Pou3f2/Tnfrsf12a/Efna1/Ret/Flrt3/Nefh/Rufy3/Gdnf/Numbl/Nrp2/Stxbp1/Dlx5/Cobl/Nrp1/Cntn2/Dst/Tbr1/Sema6c/Hsp90ab1/Rhoh/Mapt/Actb/Gdf7/Epha10/Ephb2/Zic2/Efna5/Edn1/Nrn1/Ext1/Atoh1/Tgfb2/Pou4f2/Tubb3/Plxnc1/Ccdc141/Rab3a/Cdh4/Rtn4/Vstm2l/Slc9a6/Rnf165/Shtn1/Braf/Ece1/Ndel1/Efna3/Bcl11a/Sema5a/Trak1/Stxbp5/Itgb1/Igfals/Wnt7b/Cyfip1/Csf1r/Foxd1/Trpv2/Trak2/Cntf/Zdhhc17/Wnt3/Shox2/Fxn/Rhog/Kif13b/Nova2/Lamc2/Sema4d/Lrp4/Myo5b/Notch1/Bcl2/Anapc2/Wnt7a/Mir9-2/Pla2g10/Nlgn3/Sema4g/Epha5/D130043K22Rik/Golga2/Wnt3a/Cck/Ephb3/Efna4/B4galt6/Nr2e1/Chn1/Otx2/Gap43/Efna2/Bmpr2/Epha8/Afg3l2/Kif5a/Itga4/Cnp/Prtg/Pmp22/Rgma/Nptx1/Ptch1/Agrn/Slit3/Ntn1/Pitpna/Lama1/Fzd3/Barhl2/Cxcl12/Limk1/Dnm2/Tiam1/Nkx2-9/Ptpn11/Pafah1b1/Golga4/Nkx6-1/Lhx4/Ache/Brsk2/Tsku/Hsp90aa1/Nexn/Ntng2/Ust/Foxp1/Cdh11/Shh/Lrtm2/Enah/Epha3/Evx1/Dpysl2/Fgf13/Fgfr3/Plxna1/Sema6d/Brsk1/Mbp/Arx/Slit1/Edn2/Artn/Atg7/Mypn/Dscam/Slitrk4/Lmx1a/Ocm/Mir124a-2/Sipa1l1/Atp8a2/Fstl4/Disc1/Usp9x/Crabp2/Ryk/Lhx3/Sema3f/Nkx2-1/Gbx1/Ngfr/Dbn1/Ank3/Sema3e/Unc5a/Reln/Map2k1/Etv4/Llgl1/Fezf2/Mark2/Ntrk2/B4galt5/Cacna1a/Lgi1/Pak3/Sema4a/Arhgef28/Ablim1/Mt3/Sema7a,218
GO:0003002,regionalization,183/5933,379/29008,4.13E-34,6.64E-31,3.23E-31,Six1/Alx1/Dll1/Mib1/Irx3/Tmem107/Gpr161/Pcdh8/Rfx4/Hipk1/Fezf1/Wt1/Dmrt2/Mllt3/Bhlhe41/Bmpr1a/Dmrta2/Pds5a/Lef1/Hoxa7/Bhlhe22/Wls/Lrp6/Nr2f1/Dll4/Aldh1a2/Celsr2/Tcf7l1/Dpcd/Gli3/Rarg/Hoxc9/Dlx2/Foxa2/Lfng/Ssbp3/Acvr2a/Nodal/Ror2/Foxc1/Mtf2/Sp8/Pitx2/Gdnf/Mesp1/Foxa1/Nrp2/Mdfi/Cobl/Nrp1/Pax3/Otx1/Bptf/Tbr1/Mafb/Tdgf1/Ski/Celsr1/Sufu/Gdf11/Edn1/Ext1/Acd/Gli1/Spry1/Grsf1/Dkk1/Yy1/Hoxc4/Msx1/Cyp26b1/Cited2/Nkx3-1/Foxc2/Crb2/Cyp26c1/Pax2/Wnt7b/Wnt2b/Irx1/Acvr1/Lefty1/Foxd1/Ripply1/Atm/Fgf1/Wnt3/Hoxb4/Poglut1/Cyp26a1/T/Hey1/Intu/Pcgf2/Wnt11/Irx2/Lrp4/Notch1/Zbtb16/Gsx2/Wnt7a/Hoxa5/Hoxa9/Cdx1/Bmp2/Tbx3/Hes3/Hoxc13/Emx1/Sfrp2/Gsc/Meox1/Wnt3a/Ripply2/Tcf15/Otx2/Zic3/Pax8/Bmpr2/Scmh1/Bmi1/Lrp5/Fgfr4/Gata4/Hoxb6/Rnf220/Ptch1/Chrd/Pax7/Six2/Hoxa6/Hoxa11/Hes2/Dbx1/Neurod1/Mesp2/En1/Sfrp1/Tbx1/Psen2/Hoxb9/Axin2/Hoxd13/Nkx2-5/Hipk2/Dll3/Wnt8a/Shh/Atp6ap2/Ttn/Pbx2/Neurog1/Mks1/Emx2/Hhip/Hoxd3/Barx1/Foxf1/Btg2/Tmed2/Dmrt3/Wdr19/Smad6/Lhx3/Ascl1/Sema3f/Alx4/Nkx2-1/Wnt1/Heyl/Fgf2/Sostdc1/Hoxa4/Grem2/Reln/Pcsk6/Foxn4/Fezf2/Tbx20/Hoxd11/Gata5/Ets2/Senp2,183
GO:0050808,synapse organization,211/5933,489/29008,2.03E-30,2.61E-27,1.27E-27,Six1/Plxnb2/Eef2k/Cdk5r1/Apoe/Shisa7/Ptprs/Cdh8/Pcdh8/Tsc1/Mdga2/Pcdh17/Chrna7/Ptpro/Sparc/Cask/Tanc1/Rapsn/Pin1/Slitrk5/Ppp1r9a/Gpc4/Nefl/Itpka/Nedd4/C1ql3/Nrxn2/Lrfn5/Eif4g1/Srcin1/Cttnbp2/Ephb1/Camk1/P2rx2/Adgrb1/Cdh1/Nrcam/Chd4/Plxnd1/Chmp4b/Cbln2/Efna1/Flrt3/Ssh1/Gdnf/Nrp2/Lrfn1/Nrp1/Cntn2/Sncg/Cbln4/Rest/Itga3/Grin2a/Adgrb2/Snca/Mapt/Synpo/Actb/Ctnnd2/Ephb2/Efna5/Marcks/Cux2/Flrt1/Clstn3/Unc13a/Rab3a/Dkk1/Ptprf/Flna/Dgkz/Slc9a6/Arhgap22/Pgrmc1/Dtnbp1/Farp1/Nptxr/Gabra2/Tmeff1/Arhgap39/Wasf2/Clstn2/Wnt7b/Ppfia4/Tanc2/Cyfip1/Ncan/Cbln1/Dip2a/Actr2/Dock10/Slc1a1/Gripap1/Erc2/Tlr2/Sez6/Sema4d/Rims3/Lrp4/Myo5b/Pick1/Lrrc4/Setd5/Lgi2/Anapc2/Wnt7a/Cacnb1/Lrfn2/Il1rapl2/Bcan/Erbb4/Nlgn3/Drd1/Cabp1/Epha5/Rab29/Etv5/Dlgap3/Oxtr/Chrna1/Cadm1/Negr1/Nlgn2/Igsf9b/Sybu/Camk2b/Wnt3a/Ephb3/Clstn1/Nrxn1/Zfp365/Gap43/Shank3/Lrrtm1/Obsl1/Fzd9/Lzts3/Unc13b/Afg3l2/Shisa6/Erc1/Dnaja3/Cacnb3/Hspa8/Six4/Pmp22/Nptx1/Dhx36/Agrn/Ywhaz/Ntn1/Camkv/Grin2b/Pafah1b1/Elfn1/Ache/Cfl1/Ntng2/Sez6l/C1ql1/Ky/Lrtm2/Stau2/Lgmn/Epha3/Fgf13/Lrrk2/Nos1ap/Ptprd/Palm/Slitrk4/Lmx1a/Srgn/Glrb/Sipa1l1/Dact1/Cacnb4/Disc1/Pdgfb/Gpc6/Sorbs1/Adgrf1/Vstm5/Slc8a3/Dlg5/Sema3f/Egln1/Dab2ip/Abi2/Slc6a1/Klk8/Dbn1/Ank3/Igsf21/Sema3e/Neurod2/Grip2/Reln/Bsn/Add2/Iqsec3/Zmynd8/Ghsr/Ntrk2/Mdga1/Lrfn4/Cacna1a/C1qb/Pak3/Sema4a,211
GO:0048562,embryonic organ morphogenesis,159/5933,332/29008,2.68E-29,2.87E-26,1.40E-26,Epha2/Six1/Alx1/Nkx3-2/Dll1/Bmp7/Mib1/Hand2/Tead2/Hipk1/Foxf2/Sec24b/Rac1/Mapk3/Hoxa7/Lrp6/Prrx1/Aldh1a2/Tcf7l2/Mfap5/Gli3/Pcdh15/Rarg/Hoxc9/Dlx2/Foxl2/Fgf9/Nodal/Dvl3/Ror2/Efna1/Rarb/Pitx2/Mesp1/Mdfi/Dlx5/Col11a1/Rest/Otx1/Ccdc40/Sox9/Myo15/Mafb/Celsr1/Sufu/Naglu/Dlx6/Ephb2/Edn1/Grhl3/Whrn/Atoh1/Tgfb2/Gli1/Zeb1/Hoxc4/Msx1/Cited2/Kcnq4/Foxc2/Crb2/Pax2/Alx3/Acvr1/Bcr/Clic5/Kcnq1/Tcf7/Gnas/Hoxb4/Hspg2/Gja1/Pkd2/Shox2/T/Rdh10/Grhl2/Pcgf2/Wnt11/Foxi1/Gata2/Tgfb3/Pdzd7/Frzb/Notch1/Hoxa5/Hoxa9/Myo7a/Tbx15/Sobp/Tbx3/Slc9a3r1/Smarca4/Th/Abr/Eya1/Gsc/Wnt3a/Slc39a3/Otx2/Zic3/Aplnr/Pax8/Tgfbr2/Arid1a/Mmp14/Eya4/Bmi1/Chd7/Gata4/Hoxb6/Sod1/Hmx3/Mmp16/Six4/Spry2/Rbp4/Id2/Ptk7/Ntn1/Wnt9b/Six2/Hoxa6/Hoxa11/Fzd3/Triobp/Neurod1/Twist1/Eng/Tbx1/Eif4a3l1/Hoxb9/Lhfpl5/Tbx2/Nkx2-5/Hipk2/Shh/Neurog1/Fzd6/Ttc39c/Gjb6/Hoxd3/Foxf1/Lbx1/Tmed2/Atp8a2/Wdr19/Stox1/Sox11/Alx4/Wnt1/Hoxa4/Insig1/Ihh/Tbx20/Hoxd11/Stra6/Cdh23/Cthrc1,159
GO:0031346,positive regulation of cell projection organization,192/5933,441/29008,2.20E-28,2.00E-25,9.70E-26,Sh3glb1/Plxnb2/Skil/Eef2k/Bmp7/Apoe/Ndnf/Efemp1/Qk/Grn/Rac1/Cask/Fscn1/Ppp1r9a/Nefl/Plek2/Dpysl3/Itpka/Lrp6/Tox/Gprc5b/Nfe2l2/Camk1/Creb3l2/Dock11/Metrn/Plxnd1/Rrn3/Ror2/Mir124a-3/Fez1/Tnfrsf12a/Kif3c/Ret/Ndrg4/Atmin/Rhoq/Rufy3/Eps8l2/Numbl/Cobl/Nrp1/Rreb1/Itga3/Mark4/Hap1/Mapt/Src/Ephb2/Efna5/Mob2/Marcks/Tbc1d24/Cux2/Pou4f2/Plxnc1/Fig4/Khdc3/Ptprf/Cdh4/Rtn4/Flna/Shtn1/Braf/Rit2/Ndel1/Vldlr/Bcl11a/Sema5a/Nf1/Trak1/Sgk1/Itgb1/Epo/Ror1/Wasf2/Cyfip1/Ikbkb/Trpv2/Cntf/Rapgef1/Plekhm1/Wnt3/Actr2/Shox2/Fxn/Espn/Plk5/Sez6/Tgfb3/Sema4d/Myo5b/Kctd17/Ddx56/Anapc2/Grip1/Cflar/Arap1/Rap1a/Tnik/Negr1/Golga2/Camk2b/Wnt3a/Hspa5/Kit/Twf1/Ehd1/Fes/Sf3a2/Obsl1/Bmpr2/Ss18l1/Cux1/Dynlt1b/Clip1/Stk24/Zmynd10/Lif/Cdc42ep2/Rgma/Dhx36/Agrn/Ptk7/Ntn1/Agt/Ptpn5/Ankrd1/Cxcl12/Limk1/Itga2/Cpeb1/Dnm2/Tiam1/Prkci/Pafah1b1/Alkal2/Golga4/Vil1/Ache/Cfl1/Ltk/Plppr5/Stau2/Epha3/Plxna1/Ptprd/Adcyap1/Palm/Dscam/Anln/Il6/Cdc42ep1/Ocm/Enc1/Mir124a-2/Cx3cl1/Prkcq/Atp8a2/Disc1/Eps8/Crabp2/Plce1/Camk1d/Septin9/Dab2ip/Enpp2/Tapt1/Cbfa2t2/Abi2/Ngfr/Dbn1/Wnt1/Ccr7/Cnr1/Bcas3/Cep120/Reln/Map2k1/Alkal1/Zmynd8/Iqgap1/Crocc/Mark2/Pacsin1/Fam98a/Ntrk2/Hdac4/Pak3/Ap2a1/Prom2/Sema7a,192
GO:0090596,sensory organ morphogenesis,153/5933,319/29008,2.48E-28,2.00E-25,9.70E-26,Epha2/Six1/Nkx3-2/Dll1/Bmp7/Ikzf1/Hipk1/Foxf2/Sec24b/Rac1/Mapk3/Tulp1/Bhlhe22/Lrp6/Prrx1/Ephb1/Mfap5/Gli3/Pcdh15/Mfsd2a/Rarg/Vsx1/Foxl2/Fgf9/Dvl3/Ror2/Rarb/Atf4/Pitx2/Foxe3/Dlx5/Col11a1/Rest/Otx1/Thrb/Sox9/Col8a2/Myo15/Mafb/Ski/Celsr1/Naglu/Dlx6/Gdf11/Ephb2/Edn1/Grhl3/Whrn/Atoh1/Zeb1/Yy1/Fscn2/Lctl/Msx1/Cyp26b1/Rorb/Cited2/Rpgrip1/Hdac2/Kcnq4/Nf1/Crb2/Fat3/Pax2/Miat/Bcr/Cntf/Clic5/Kcnq1/Casp6/Slc1a1/Intu/Foxi1/Gata2/Pdzd7/Frzb/Rs1/Bak1/Bcl2/Myo7a/Sobp/Slc9a3r1/Hoxc13/Vsx2/Th/Abr/Eya1/Gsc/Wnt3a/Otx2/Obsl1/Pax8/Arid1a/Eya4/Lrp5/Chd7/Jag1/Sod1/Hmx3/Six4/Spry2/Rbp4/Mir182/Ptk7/Ntn1/Six2/Fzd3/Flt1/Triobp/Twist1/Prkci/Hcn1/Tbx1/Tsku/Lhfpl5/Tbx2/Hdac1/Hipk2/Shh/Stau2/Neurog1/Fgfr3/Fzd6/Ttc39c/Gjb6/Cnga3/Casz1/Dscam/Bcar3/Mir124a-2/Bhlhe23/Atp8a2/Pdgfb/Zhx2/Wdr19/Stox1/Ptf1a/Bax/Man2a1/Sox11/Mfrp/Abi2/Megf11/Wnt1/Fgf2/Insig1/Foxn4/Ihh/Ntrk2/Stra6/Cdh23/Cthrc1/Trpm1,153
GO:0060485,mesenchyme development,144/5933,293/29008,3.96E-28,2.83E-25,1.37E-25,Fgf15/Six1/Sema6a/Nrtn/Alx1/Sema6b/Bcl9l/Tgfbr3/Bmp7/Sema3d/Hand2/Tead2/Mapk3/Wt1/Bmpr1a/Lef1/Nedd4/Lrp6/Nfatc1/Aldh1a2/Tcf7l2/Wnt10a/Foxa2/Fgf9/Nodal/Phldb1/Foxc1/Efna1/Ret/Pitx2/Nos3/Gdnf/Mesp1/Foxa1/Nrp2/Nrp1/Pax3/Sox9/Sema6c/Zic2/Edn1/Tgfb1/Erg/Ext1/Tgfb2/Scx/Spry1/Rtn4/Flna/Il17rd/Msx1/Dicer1/Cited2/Hdac2/Sema5a/Wnt16/Foxc2/Tgfbr3l/Crb2/Col1a1/Cyp26c1/Pax2/Has2/Wnt7b/Acvr1/Foxd1/Mdm2/Tgfb1i1/Poglut1/Gja1/Cyp26a1/Pef1/Hey1/Rdh10/Wnt11/Tgfb3/Sema4d/Frzb/Notch1/Bcl2/Hoxa5/Rxra/Erbb4/Sema4g/Bmp2/Pdpn/Tbx3/Sfrp2/Gsc/Meox1/Wnt3a/Anxa6/Tcf15/Aplnr/Bmpr2/Zfp750/Tgfbr2/Gata4/Rflnb/Mcrip1/Itga4/Jag1/Six4/Spry2/Ptk7/Six2/Akna/Twist1/Spred2/Tiam1/Eng/Sfrp1/Pofut2/Tbx1/Nolc1/Cfl1/Axin2/Tbx2/Nkx2-5/Dll3/Shh/Smad7/Rbm24/Epha3/Sema6d/Foxf1/Il6/Usf3/Dact3/Myocd/Bnc2/Dlg5/Sema3f/Sox11/Dab2ip/Nkx2-1/Heyl/Trim62/Sema3e/Mad2l2/Tbx20/Gata5/Sema4a/Sema7a,144
GO:0050767,regulation of neurogenesis,193/5933,451/29008,2.21E-27,1.29E-24,6.28E-25,Slit2/Sh3glb1/Jade2/Sema6a/Plxnb2/Sema6b/Skil/Eef2k/Cdk5r1/Dll1/Bmp7/Apoe/Sema3d/Vax1/Ptprs/Qk/Fezf1/Cask/Ywhah/Bhlhe41/Bmpr1a/Nefl/Dmrta2/Itpka/Dll4/Nkx2-2os/Id1/Gli3/Metrn/Dlx2/Plxnd1/Trim46/Mir124a-3/Tnfrsf12a/Hmgb2/Rufy3/Otp/Numbl/Nrp1/Rest/Sema6c/Ski/Hap1/Mapt/Ephb2/Efna5/Tgfb1/Marcks/Tbc1d24/Cux2/Pou4f2/F2/Plxnc1/Khdc3/Ptprf/Cdh4/Rtn4/Shtn1/Braf/Kdm1a/Ndel1/Dicer1/Hdac2/Bcl11a/Brinp1/Sema5a/Nf1/Trak1/Sgk1/Lingo1/Wnt7b/Cyfip1/Trpv2/Trak2/Cntf/Wnt3/Actr2/Bin1/Shox2/Fxn/Trim11/Hey1/Rgs14/Mir219a-2/Arhgef2/Trim32/Rela/Tlr2/Nkx6-2/Sema4d/Lrp4/Myo5b/Notch1/Gsx2/Id4/Anapc2/Wnt7a/Atf5/Sema4g/Bmp2/Hes3/Etv5/D130043K22Rik/Tnik/Golga2/Camk2b/Wnt3a/Kit/Nr2e1/Zfp365/Shank3/Nf2/Obsl1/Bmpr2/Ss18l1/Cux1/Dynlt1b/Faim/Plag1/Cit/Chd7/Olig2/Prmt5/Lif/Prtg/Nr1d1/Rgma/Dhx36/Tlx2/Id2/Ntn1/Fzd3/Ace/Flt1/Hes2/Cxcl12/Limk1/Tiam1/Prkci/Pafah1b1/Golga4/Nkx6-1/Ache/Hdac1/Dll3/Shh/Stau2/Fgf13/Fgfr3/Plxna1/Sema6d/Mbp/Ptprd/Slit1/Pparg/Adcyap1/Dscam/Il6/Ocm/Bex1/Mir124a-2/E2f1/Cx3cl1/Fstl4/Disc1/Crabp2/Man2a1/Ryk/Ascl1/Sema3f/Sox11/Pou4f1/Enpp2/Clcf1/Daam2/Rnf112/Dbn1/Syt4/Heyl/Sema3e/Reln/Map2k1/Srrt/Fezf2/Tle6/Ppp1cc/Ntrk2/Il33/Pak3/Sema4a/Mt3/Sema7a/Gfap,193
